id,name,alias
1170,MEDIATECH INSTITUTE-DALLAS,
1171,AVEDA ARTS & SCIENCES INSTITUTE-SAN ANTONIO,
1172,TECHNICAL LEARNING CENTERS INC,PROSPECT COLLEGE
1173,UNIVERSAL COLLEGE OF HEALING ARTS,
1174,SOUTH TEXAS TRAINING CENTER,
1175,ADVANCED WELDING INSTITUTE,AWI
1176,PAUL MITCHELL THE SCHOOL-MEMPHIS,
1177,WELLSPRING SCHOOL OF ALLIED HEALTH-KANSAS CITY,WELLSPRING
1178,DENVER COLLEGE OF NURSING,
1179,NORTHWESTERN CONNECTICUT COMMUNITY COLLEGE,NCCC NWCC NWCTC NORTHWESTERN CONNECTICUT COMMUNITY TECHNICAL COLLEGE
1180,DELAWARE TECHNICAL COMMUNITY COLLEGE-TERRY,DELAWARE TECH
1181,ALBIZU UNIVERSITY-MIAMI,ALBIZU UNIVERSITY-MIAMI
1182,CHARLOTTE TECHNICAL COLLEGE,CTC
1183,SOUTH UNIVERSITY-WEST PALM BEACH,
1184,ECKERD COLLEGE,
1185,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY-DAYTONA BEACH,EMBRY RIDDLE AERONAUTICAL UNIVERSITY-DAYTONA BEACH
1186,UNIVERSITY OF WESTERN STATES,WESTERN STATES CHIROPRACTIC COLLEGE
1187,FLORIDA CAREER COLLEGE-MIAMI,
1188,FORT PIERCE BEAUTY ACADEMY,
1189,FULL SAIL UNIVERSITY,
1190,GEORGE STONE TECHNICAL COLLEGE,
1191,GALEN COLLEGE OF NURSING-LOUISVILLE,
1192,JEFFERSON COMMUNITY AND TECHNICAL COLLEGE,
1193,MAYSVILLE COMMUNITY AND TECHNICAL COLLEGE,
1194,KEY COLLEGE,INDEPENDENT EDUCATION CORP DBA KEY COLLEGE
1195,CORTIVA INSTITUTE-FLORIDA,
1196,AMERICAN INSTITUTE OF MASSAGE THERAPY,
1197,FLORIDA GATEWAY COLLEGE,FGC
1198,TRINITY INTERNATIONAL UNIVERSITY-FLORIDA,
1199,PORTER AND CHESTER INSTITUTE OF STRATFORD,PORTER AND CHESTER INSTITUTE
1200,MIAMI LAKES EDUCATIONAL CENTER AND TECHNICAL COLLEGE,
1201,NORTH FLORIDA COLLEGE,
1202,GEORGETOWN UNIVERSITY,GEORGETOWN|GU
1203,WESLEY THEOLOGICAL SEMINARY,
1204,UNIVERSITY OF THE DISTRICT OF COLUMBIA,
1205,TRINITY BAPTIST COLLEGE,
1206,CONCORDE CAREER INSTITUTE-TAMPA,
1207,SAINT LEO UNIVERSITY,ST. LEO UNIVERSITY ST LEO UNIVERSITY
1208,THE JOHN MARSHALL LAW SCHOOL,
1209,SHERIDAN TECHNICAL COLLEGE,
1210,ORANGE TECHNICAL COLLEGE-WESTSIDE CAMPUS,
1211,ANABAPTIST MENNONITE BIBLICAL SEMINARY,AMBS | MENNONITE BIBLICAL SEMINARY | MENNONITE SEMINARY
1212,ORANGE TECHNICAL COLLEGE-WINTER PARK CAMPUS,
1213,ATLANTA'S JOHN MARSHALL LAW SCHOOL,
1214,BRESCIA UNIVERSITY,
1215,BEREA COLLEGE,
1216,BROWN COLLEGE OF COURT REPORTING,BROWN COLLEGE OF COURT REPORTING AND MEDICAL TRANSCRIPTION
1217,LAGRANGE COLLEGE,
1218,ADVANCED TECHNOLOGY INSTITUTE,ATI
1219,MIAMI AD SCHOOL-ATLANTA,
1220,UNIVERSITY OF HAWAII SYSTEM OFFICE,UH SYSTEM / UH
1221,AVEDA INSTITUTE-TWIN FALLS,
1222,UNIVERSITY OF LOUISIANA AT LAFAYETTE,UL LAFAYETTE
1223,PAUL MITCHELL THE SCHOOL-BRADLEY,PAUL MITCHELL THE SCHOOL
1224,THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY AT CHICAGO,
1225,HAIR PROFESSIONALS CAREER COLLEGE,
1226,SAINT AUGUSTINE COLLEGE,ST. AUGUSTINE COLLEGE
1227,NATIONAL LATINO EDUCATION INSTITUTE,
1228,TRICOCI UNIVERSITY OF BEAUTY CULTURE-HIGHLAND,HLD
1229,FRANKLIN COLLEGE,FRANKLIN COLLEGE OF INDIANA
1230,INDIANA UNIVERSITY-PURDUE UNIVERSITY-INDIANAPOLIS,IUPUI
1231,INDIANA INSTITUTE OF TECHNOLOGY,"INDIANA TECH, IIT"
1232,UNIVERSITY OF SOUTHERN INDIANA,USI
1233,APPALACHIAN BEAUTY SCHOOL,
1234,WOR-WIC COMMUNITY COLLEGE,
1235,COLLEGE OF THE ATLANTIC,
1236,TRI-COUNTY BEAUTY ACADEMY,
1237,J MICHAEL HARROLD BEAUTY ACADEMY,HARROLD BEAUTY ACADEMY
1238,WEST VIRGINIA JUNIOR COLLEGE-MORGANTOWN,
1239,WASHINGTON COUNTY COMMUNITY COLLEGE,
1240,WRIGHT BEAUTY ACADEMY,
1241,ALBION COLLEGE,
1242,AMERICAN SAMOA COMMUNITY COLLEGE,ASCC
1243,PAUL MITCHELL THE SCHOOL-LOUISVILLE,
1244,MAINE COLLEGE OF HEALTH PROFESSIONS,MCHP
1245,EMPIRE BEAUTY SCHOOL-MAINE,
1246,BALTIMORE STUDIO OF HAIR DESIGN,BALTIMORE STUDIO OF HAIR DESIGN SCHOOL OF COSMETOLOGY
1247,COLLEGE OF SOUTHERN MARYLAND,CSM
1248,CHESAPEAKE COLLEGE,
1249,ST. MARY'S COLLEGE OF MARYLAND,ST. MARY'S OR SMCM
1250,BANCROFT SCHOOL OF MASSAGE THERAPY,
1251,BOSTON UNIVERSITY,BU|BOSTON U
1252,HEBREW COLLEGE,
1253,NICHOLS COLLEGE,NICHOLS
1254,NORTH BENNET STREET SCHOOL,
1255,SALEM STATE UNIVERSITY,
1256,BARD COLLEGE AT SIMON'S ROCK,SIMON'S ROCK
1257,MICHIGAN SCHOOL OF PSYCHOLOGY,MSP
1258,CENTRAL MICHIGAN UNIVERSITY,
1259,CRANBROOK ACADEMY OF ART,
1260,COLLEGE FOR CREATIVE STUDIES,CCS
1261,MICHIGAN STATE UNIVERSITY-COLLEGE OF LAW,
1262,MIAT COLLEGE OF TECHNOLOGY,"MICHIGAN INSTITUTE OF AERONAUTICS, INC. MIAT INSTITUTE OF TECHNOLOGY MICHIGAN INSTITUTE OF AVIATION AND TECHNOLOGY"
1263,KIRTLAND COMMUNITY COLLEGE,
1264,THE MICHIGAN BARBER SCHOOL,MICHIGAN BARBER SCHOOL
1265,OLIVET COLLEGE,OC COMETS
1266,ROSS MEDICAL EDUCATION CENTER-MADISON HEIGHTS,
1267,OAKLAND UNIVERSITY,OAKLAND|OU|O.U.
1268,SAGINAW VALLEY STATE UNIVERSITY,
1269,CARLETON COLLEGE,
1270,GUSTAVUS ADOLPHUS COLLEGE,
1271,NEW YORK ACADEMY OF ART,
1272,SAINT JOHNS UNIVERSITY,SAINT JOHN'S
1273,CROWN COLLEGE,
1274,EAST CENTRAL COMMUNITY COLLEGE,
1275,HINDS COMMUNITY COLLEGE,
1276,BOARD OF TRUSTEES-MISSISSIPPI STATE INSTITUTIONS OF HIGHER LEARNING,IHL
1277,HOUSE OF HEAVILIN BEAUTY COLLEGE-BLUE SPRINGS,
1278,CAPE GIRARDEAU CAREER AND TECHNOLOGY CENTER,CAPE GIRARDEAU CTC
1279,EVANGEL UNIVERSITY,
1280,PAUL MITCHELL THE SCHOOL-INDIANAPOLIS,
1281,HILLYARD TECHNICAL CENTER,
1282,RAINY RIVER COMMUNITY COLLEGE,
1283,SAINT LUKE'S COLLEGE OF HEALTH SCIENCES,
1284,KANSAS CITY UNIVERSITY OF MEDICINE AND BIOSCIENCES,KCU - KANSAS CITY
1285,BLACKFEET COMMUNITY COLLEGE,BCC
1286,CHIEF DULL KNIFE COLLEGE,
1287,MONTANA STATE UNIVERSITY BILLINGS,MSU BILLINGS
1288,FORT PECK COMMUNITY COLLEGE,FPCC
1289,HELENA COLLEGE UNIVERSITY OF MONTANA,HELENA COLLEGE
1290,LITTLE BIG HORN COLLEGE,
1291,CONCORDIA UNIVERSITY-NEBRASKA,"CONCORDIA TEACHERS COLLEGE CONCORDIA COLLEGE CONCORDIA UNIVERSITY, SEWARD"
1292,NEBRASKA METHODIST COLLEGE OF NURSING & ALLIED HEALTH,NEBRASKA METHODIST COLLEGE
1293,NEBRASKA CHRISTIAN COLLEGE OF HOPE INTERNATIONAL UNIVERSITY,
1294,NEBRASKA INDIAN COMMUNITY COLLEGE,NICC
1295,CAREER COLLEGE OF NORTHERN NEVADA,
1296,WHITE MOUNTAINS COMMUNITY COLLEGE,
1297,FELICIAN UNIVERSITY,
1298,FAIRLEIGH DICKINSON UNIVERSITY-FLORHAM CAMPUS,FDU
1299,HARRIS SCHOOL OF BUSINESS-CHERRY HILL CAMPUS,
1300,STEVENS INSTITUTE OF TECHNOLOGY,STEVENS
1301,NAVAJO TECHNICAL UNIVERSITY,NAVAJO TECH
1302,NEW MEXICO HIGHLANDS UNIVERSITY,
1303,SANTA FE COMMUNITY COLLEGE,SFCC
1304,MESALANDS COMMUNITY COLLEGE,
1305,BRYANT & STRATTON COLLEGE-ALBANY,
1306,BERK TRADE AND BUSINESS SCHOOL,BERK TRADE SCHOOL
1307,BRYANT & STRATTON COLLEGE-BUFFALO,
1308,CAZENOVIA COLLEGE,
1309,EMPIRE BEAUTY SCHOOL-QUEENS,
1310,ARIZONA STATE UNIVERSITY-WEST,
1311,CONCORDIA COLLEGE,CONCORDIA-NEW YORK|CONCORDIA|
1312,CULINARY INSTITUTE OF AMERICA,THE CULINARY INSTITUTE OF AMERICA CIA THE CULINARY INSTITUTE OF AMERICA AT GREYSTONE THE CULINARY INSTITUTE OF AMERICA AT SAN ANTONIO
1313,CUNY LEHMAN COLLEGE,LEHMAN | LEHMAN COLLEGE
1314,HOBART WILLIAM SMITH COLLEGES,
1315,JEFFERSON COMMUNITY COLLEGE,
1316,KEHILATH YAKOV RABBINICAL SEMINARY,
1317,MEMORIAL HOSPITAL SCHOOL OF RADIATION THERAPY TECHNOLOGY,MSKCC SCHOOL OF RADIATION THERAPY
1318,SOUTHERN WESTCHESTER BOCES-PRACTICAL NURSING PROGRAM,
1319,MILDRED ELLEY SCHOOL-ALBANY CAMPUS,
1320,MIRRER YESHIVA CENT INSTITUTE,
1321,NAZARETH COLLEGE,
1322,ST BERNARD'S SCHOOL OF THEOLOGY AND MINISTRY,SBSTM
1323,SUNY COLLEGE OF TECHNOLOGY AT CANTON,SUNY CANTON
1324,FARMINGDALE STATE COLLEGE,SUNY COLLEGE OF TECHNOLOGY AT FARMINGDALE
1325,SUNY POLYTECHNIC INSTITUTE,SUNY POLY
1326,SUNY CORTLAND,SUNY CORTLAND
1327,HERITAGE BIBLE COLLEGE,
1328,LEONS BEAUTY SCHOOL INC,
1329,MONTGOMERY COMMUNITY COLLEGE,
1330,PFEIFFER UNIVERSITY,
1331,RICHMOND COMMUNITY COLLEGE,
1332,WESTMINSTER COLLEGE,
1333,ROWAN-CABARRUS COMMUNITY COLLEGE,
1334,SAMPSON COMMUNITY COLLEGE,
1335,SANDHILLS COMMUNITY COLLEGE,SCC|SANDHILLS
1336,PAUL MITCHELL THE SCHOOL-FAYETTEVILLE,
1337,"JOSEF'S SCHOOL OF HAIR, SKIN & BODY-GRAND FORKS",
1338,DIVERS ACADEMY INTERNATIONAL,"DIVERS ACADEMY OF THE EASTERN SEABOARD, INC."
1339,RIZZIERI AVEDA SCHOOL FOR BEAUTY AND WELLNESS,
1340,ATLANTIC BEAUTY & SPA ACADEMY LLC,SHORE BEAUTY SCHOOL
1341,KETTERING COLLEGE,
1342,COLEGIO UNIVERSITARIO DE SAN JUAN,
1343,EDP UNIVERSITY OF PUERTO RICO INC-SAN SEBASTIAN,EDP
1344,EMMA'S BEAUTY ACADEMY-MAYAGUEZ,
1345,INSTITUTO TECNOLOGICO DE PUERTO RICO-RECINTO DE MANATI,ITEC-MANATI
1346,INTER AMERICAN UNIVERSITY OF PUERTO RICO-AGUADILLA,
1347,INTER AMERICAN UNIVERSITY OF PUERTO RICO-ARECIBO,
1348,INTER AMERICAN UNIVERSITY OF PUERTO RICO-METRO,
1349,INTER AMERICAN UNIVERSITY OF PUERTO RICO-CENTRAL OFFICE,
1350,INTERNATIONAL TECHNICAL COLLEGE,
1351,LICEO DE ARTE Y TECNOLOGIA,
1352,ANTIOCH UNIVERSITY-LOS ANGELES,AULA|ANTIOCH|ANTIOK|ANTIOC|ANTOICH
1353,PROTEGE ACADEMY,
1354,P&A SCHOLARS BEAUTY SCHOOL,P&A SCHOLARS
1355,UNIVERSITY SYSTEM OF MARYLAND-RESEARCH CENTERS,USM--RESEARCH CENTERS
1356,INTER AMERICAN UNIVERSITY OF PUERTO RICO-SCHOOL OF OPTOMETRY,
1357,PLATT COLLEGE-SAN DIEGO,
1358,WHITE EARTH TRIBAL AND COMMUNITY COLLEGE,WETCC
1359,SANTA ANA COLLEGE,SAC
1360,YORK COUNTY SCHOOL OF TECHNOLOGY-ADULT & CONTINUING EDUCATION,YORK COUNTY SCHOOL OF TECHNOLOGY
1361,JEFFERSON COUNTY DUBOIS AREA VOCATIONAL TECHNICAL PRACTICAL NURSING PROGRAM,
1362,MIFFLIN COUNTY ACADEMY OF SCIENCE AND TECHNOLOGY,
1363,ARIZONA COLLEGE-GLENDALE,
1364,OREGON COAST COMMUNITY COLLEGE,
1365,CET-ALEXANDRIA,
1366,CENTURA COLLEGE-RICHMOND MAIN,
1367,GREEN COUNTRY TECHNOLOGY CENTER,
1368,OTTAWA UNIVERSITY-MILWAUKEE,OUMW - MILWAUKEE OUMW - WISCONSIN
1369,AOMA GRADUATE SCHOOL OF INTEGRATIVE MEDICINE,AOMA
1370,MASSAGE THERAPY INSTITUTE OF COLORADO,
1371,FAUST INSTITUTE OF COSMETOLOGY-SPIRIT LAKE,
1372,BLESSING HOSPITAL SCHOOL OF MEDICAL LABORATORY TECHNOLOGY,
1373,ACADEMY OF HAIR DESIGN-LUFKIN,
1374,NORTHWEST HVAC/R TRAINING CENTER,
1375,FLORIDA COLLEGE OF INTEGRATIVE MEDICINE,
1376,ACUPUNCTURE AND MASSAGE COLLEGE,
1377,STRAND COLLEGE OF HAIR DESIGN,
1378,HAIR ACADEMY II,
1379,WEST COAST ULTRASOUND INSTITUTE,
1380,WESLEY BIBLICAL SEMINARY,
1381,SOUTHWEST ACUPUNCTURE COLLEGE-BOULDER,
1382,STEVENS-HENAGER COLLEGE,
1383,EASTERN WEST VIRGINIA COMMUNITY AND TECHNICAL COLLEGE,
1384,TULSA WELDING SCHOOL-JACKSONVILLE,"TWS, TWS JACKSONVILLE"
1385,ST LOUIS COLLEGE OF HEALTH CAREERS-FENTON,SLCHC
1386,PIERCE COLLEGE-PUYALLUP,
1387,TEXAS TECH UNIVERSITY SYSTEM ADMINISTRATION,
1388,CBD COLLEGE,COMMUNITY BASED EDUCATION AND DEVELOPMENT
1389,QUEST COLLEGE,
1390,COMMUNITY CARE COLLEGE,
1391,HDS TRUCK DRIVING INSTITUTE,
1392,ROSEDALE BIBLE COLLEGE,
1393,WARREN WILSON COLLEGE,"WARREN WILSON, WWC"
1394,M-DCPS THE ENGLISH CENTER,THE ENGLISH CENTER
1395,FLORIDA EDUCATION INSTITUTE,
1396,METROPOLITAN LEARNING INSTITUTE,MLI
1397,AMERICAN ADVANCED TECHNICIANS INSTITUTE,AATI
1398,EASTERN SCHOOL OF ACUPUNCTURE AND TRADITIONAL MEDICINE,
1399,TRIDENT TECHNICAL COLLEGE,
1400,REMINGTON COLLEGE-COLUMBIA CAMPUS,
1401,WAYNE COMMUNITY COLLEGE,
1402,WILSON COMMUNITY COLLEGE,WCC
1403,ASPEN UNIVERSITY,
1404,NATIONAL BEAUTY COLLEGE,
1405,LINCOLN TECHNICAL INSTITUTE-SHELTON,LINCOLN CULINARY INSTITUTE
1406,STRAYER UNIVERSITY-VIRGINIA,
1407,AMERICAN ACADEMY OF ACUPUNCTURE AND ORIENTAL MEDICINE,"AMERICAN ACADEMY OF TRADITIONAL CHINESE MEDICINE, INC."
1408,ATA CAREER EDUCATION,A TECHNOLOGICAL ADVANTAGE
1409,HASTINGS BEAUTY SCHOOL,
1410,FORBES ROAD CAREER AND TECHNOLOGY CENTER,
1411,BAKKE GRADUATE UNIVERSITY,BGU
1412,PAUL MITCHELL THE SCHOOL-ARLINGTON,
1413,ROCKY MOUNTAIN UNIVERSITY OF HEALTH PROFESSIONS,RMUOHP
1414,ROCKY VISTA UNIVERSITY,
1415,GEMINI SCHOOL OF VISUAL ARTS & COMMUNICATION,
1416,PAUL MITCHELL THE SCHOOL-WOODBRIDGE,
1417,ASPEN BEAUTY ACADEMY OF LAUREL,
1418,VERVE COLLEGE,
1419,UNITED TRIBES TECHNICAL COLLEGE,
1420,TRINITY BIBLE COLLEGE AND GRADUATE SCHOOL,
1421,SOUTHERN TEXAS CAREERS ACADEMY,
1422,THE SALON PROFESSIONAL ACADEMY-NASHVILLE,
1423,PRESTIGE HEALTH & BEAUTY SCIENCES ACADEMY,
1424,CALIFORNIA CAREER INSTITUTE,
1425,CARSTEN INSTITUTE OF COSMETOLOGY,
1426,NORTH DAKOTA STATE COLLEGE OF SCIENCE,
1427,MAYVILLE STATE UNIVERSITY,
1428,MINOT STATE UNIVERSITY,MSU
1429,PAUL MITCHELL THE SCHOOL-JERSEY SHORE,PMTS-JS
1430,MIDDLE GEORGIA STATE UNIVERSITY,
1431,PROFESSIONAL SKILLS INSTITUTE,
1432,RAPHAEL'S SCHOOL OF BEAUTY CULTURE INC-NILES,
1433,SUMNER COLLEGE,
1434,NORTHWEST COLLEGE-CLACKAMAS,NORTHWEST COLLEGE - SCHOOL OF BEAUTY
1435,NATIONAL UNIVERSITY OF NATURAL MEDICINE,
1436,PACIFIC NORTHWEST COLLEGE OF ART,
1437,EMPIRE BEAUTY SCHOOL-YORK,
1438,STONE ACADEMY-EAST HARTFORD,
1439,EMPIRE BEAUTY SCHOOL-LANCASTER,
1440,LANCASTER SCHOOL OF COSMETOLOGY & THERAPEUTIC BODYWORK,
1441,UPMC ST. MARGARET SCHOOL OF NURSING,
1442,PENNSYLVANIA GUNSMITH SCHOOL,
1443,PITTSBURGH INSTITUTE OF AERONAUTICS,PIA CAREER SERVICES
1444,SAINT VINCENT SEMINARY,
1445,HALLMARK UNIVERSITY,
1446,CORNISH COLLEGE OF THE ARTS,
1447,INTERNATIONAL AIR AND HOSPITALITY ACADEMY,DIVISION OF INTERNATIONAL AIR AND HOSPITALITY ACADEMY: NORTHWEST RENEWABLE ENERGY INSTITUTE NORTHWEST RAILROAD INSTITUTE NORTHWEST CULINARY INSTITUTE
1448,BJ'S BEAUTY & BARBER COLLEGE,
1449,GUAM COMMUNITY COLLEGE,GCC
1450,INSTITUTE OF BEAUTY CAREERS,
1451,UNIVERSITY OF NEW HAMPSHIRE-MAIN CAMPUS,
1452,BLUE HILLS REGIONAL TECHNICAL SCHOOL,
1453,ICPR JUNIOR COLLEGE,
1454,MERIDIAN COLLEGE,
1455,BRANFORD HALL CAREER INSTITUTE-JERSEY CITY,
1456,UNIVERSITY OF THE VIRGIN ISLANDS,UVI
1457,DORSEY SCHOOL OF BUSINESS-WAYNE,DORSEY SCHOOLS- WAYNE
1458,ECUMENICAL THEOLOGICAL SEMINARY,ETS
1459,CLOYD'S BEAUTY SCHOOL 3 INC,
1460,ACADEMY FOR FIVE ELEMENT ACUPUNCTURE,
1461,ELIZABETH GRADY SCHOOL OF ESTHETICS AND MASSAGE THERAPY,
1462,ROSS MEDICAL EDUCATION CENTER-PORT HURON,
1463,LUNA COMMUNITY COLLEGE,
1464,GRABBER SCHOOL OF HAIR DESIGN,
1465,CLOYD'S BARBER SCHOOL 2 INC,
1466,STONE CHILD COLLEGE,SCC
1467,SUFFOLK COUNTY COMMUNITY COLLEGE,
1468,SOUTHERN TECHNICAL COLLEGE,
1469,MID-SOUTH CHRISTIAN COLLEGE,
1470,TRICOCI UNIVERSITY OF BEAUTY CULTURE LLC-BLOOMINGTON,BLOOMINGTON
1471,INTERACTIVE COLLEGE OF TECHNOLOGY-NEWPORT,
1472,PLATT COLLEGE-MCCANN-MONROE,
1473,PATRICK HENRY COLLEGE,PHC
1474,OREGON COLLEGE OF ORIENTAL MEDICINE,OCOM
1475,BELLUS ACADEMY-POWAY,BELLUS ACADEMY
1476,ERIE 2 CHAUTAUQUA CATTARAUGUS BOCES-PRACTICAL NURSING PROGRAM,E2CCB
1477,EMPIRE BEAUTY SCHOOL-BROOKLYN,
1478,EASTERN NEW MEXICO UNIVERSITY RUIDOSO BRANCH COMMUNITY COLLEGE,ENMU - RUIDOSO BRANCH COMMUNITY COLLEGE
1479,YESHIVAS NOVOMINSK,
1480,GALEN COLLEGE OF NURSING-TAMPA BAY,
1481,SARASOTA SCHOOL OF MASSAGE THERAPY,
1482,EMPIRE BEAUTY SCHOOL-MALDEN,
1483,HERKIMER COUNTY COMMUNITY COLLEGE,HERKIMER COLLEGE
1484,CUNY BROOKLYN COLLEGE,BROOKLYN | BROOKLYN COLLEGE
1485,EMPIRE BEAUTY SCHOOL-VERNON HILLS,
1486,EMPIRE BEAUTY SCHOOL-STONE PARK,
1487,DEVRY COLLEGE OF NEW YORK,DEVRY COLLEGE OF NEW YORK-MIDTOWN MANHATTAN DEVRY COLLEGE OF NEW YORK-REGO PARK
1488,DEVRY UNIVERSITY-ARIZONA,DEVRY UNIVERSITY-PHOENIX DEVRY UNIVERSITY-GLENDALE DEVRY UNIVERSITY-MESA
1489,DEVRY UNIVERSITY-COLORADO,DEVRY UNIVERSITY-WESTMINSTER
1490,DEVRY UNIVERSITY-NEW JERSEY,DEVRY UNIVERSITY-ISELINDEVRY UNIVERSITY-PARAMUS
1491,ESCUELA DE PERITOS ELECTRICISTAS DE ISABELA INC,E.P.E.I. INC.
1492,LINCOLN TECHNICAL INSTITUTE-MAHWAH,
1493,CAPRI INSTITUTE OF HAIR DESIGN-PARAMUS,
1494,ORLO SCHOOL OF HAIR DESIGN AND COSMETOLOGY,
1495,HIGHLIGHTS BEAUTY SCHOOLS,GENE JUAREZ ACADEMY
1496,WEBB INSTITUTE,
1497,COLORADO ACADEMY OF VETERINARY TECHNOLOGY,
1498,NATIONAL AMERICAN UNIVERSITY-COLORADO SPRINGS SOUTH,
1499,CHAMBERLAIN UNIVERSITY-MISSOURI,CHAMBERLAIN COLLEGE OF NURSING-ST. LOUIS
1500,CHAMBERLAIN UNIVERSITY-TEXAS,CHAMBERLAIN COLLEGE OF NURSING-HOUSTON CHAMBERLAIN COLLEGE OF NURSING-PEARLAND CHAMBERLAIN COLLEGE OF NURSING-IRVING CHAMBERLAIN COLLEGE OF NURSING-SAN ANTONIO
1501,CONTINENTAL SCHOOL OF BEAUTY CULTURE-MATTYDALE,
1502,PINNACLE INSTITUTE OF COSMETOLOGY,
1503,BANK STREET COLLEGE OF EDUCATION,
1504,LIM COLLEGE,LIM|LIM COLLEGE
1505,LIA SCHORR INSTITUTE OF COSMETIC SKIN CARE TRAINING,
1506,FLORIDA NATIONAL UNIVERSITY-MAIN CAMPUS,
1507,GEORGIA INSTITUTE OF COSMETOLOGY,GIC
1508,NOUVELLE INSTITUTE,
1509,ACADEMY OF CHINESE CULTURE AND HEALTH SCIENCES,ACCHS
1510,APEX TECHNICAL SCHOOL,
1511,THE NEW SCHOOL,NEW SCHOOL UNIVERSITY; PARSONS THE NEW SCHOOL FOR DESIGN; NEW SCHOOL FOR SOCIAL RESEARCH; EUGENE LANG COLLEGE; MANNES COLLEGE; THE NEW SCHOOL FOR DRAMA; THE NEW SCHOOL FOR JAZZ AND CONTEMPORARY MUSIC; THE NEW SCHOOL FOR PUBLIC ENGAGEMENT
1512,COOPER UNION FOR THE ADVANCEMENT OF SCIENCE AND ART,THE COOPER UNION
1513,THE GENERAL THEOLOGICAL SEMINARY,GTS
1514,WAGNER COLLEGE,
1515,CAPELLA UNIVERSITY,
1516,WESTERN SUFFOLK BOCES,
1517,TOMPKINS CORTLAND COMMUNITY COLLEGE,TOMPKINS CORTLAND
1518,SUNY ADIRONDACK,SUNY ADIRONDACK
1519,WORD OF LIFE BIBLE INSTITUTE,
1520,ART ACADEMY OF CINCINNATI,AAC
1521,TRINITY HEALTH SYSTEM SCHOOL OF NURSING,
1522,SOUTH CENTRAL CAREER CENTER,SCCC
1523,CASS CAREER CENTER,CASS RIX SCHOOL DISTRICT
1524,QUALITY TECHNICAL AND BEAUTY COLLEGE,
1525,D'MART INSTITUTE,
1526,AUTOMECA TECHNICAL COLLEGE-AGUADILLA,
1527,TRIANGLE TECH INC-DUBOIS,
1528,ATLANTA INSTITUTE OF MUSIC AND MEDIA,AIMM
1529,MEMPHIS THEOLOGICAL SEMINARY,
1530,AMERICAN COLLEGE OF ACUPUNCTURE AND ORIENTAL MED,
1531,WEST VIRGINIA WESLEYAN COLLEGE,
1532,UNIVERSITY OF SOUTH FLORIDA,UNIVERSITY OF SOUTH FLORIDA USF
1533,THE UNIVERSITY OF TAMPA,
1534,INDIANA STATE UNIVERSITY,INDIANA STATE ISU
1535,INDIANA UNIVERSITY-BLOOMINGTON,IUB | IU BLOOMINGTON
1536,INTERNATIONAL BUSINESS COLLEGE-INDIANAPOLIS,
1537,CORNELL COLLEGE,
1538,ELLSWORTH COMMUNITY COLLEGE,IOWA VALLEY COMMUNITY COLLEGE DISTRICT
1539,HOUSE OF HEAVILIN BEAUTY COLLEGE-RAYMORE,
1540,THOMAS MORE UNIVERSITY,THOMAS MORE
1541,OCEAN COUNTY VOCATIONAL-TECHNICAL SCHOOL,OCVTS
1542,CAROLINAS COLLEGE OF HEALTH SCIENCES,
1543,ACADEMY OF SALON AND SPA,ACADEMY OF SALON & SPA
1544,HARRIS SCHOOL OF BUSINESS-SANFORD CAMPUS,
1545,SOUTH LOUISIANA COMMUNITY COLLEGE,
1546,MYOTHERAPY INSTITUTE,
1547,CITY COLLEGE-MIAMI,
1548,CHARLIE'S GUARD-DETECTIVE BUREAU AND ACADEMY INC,CHARLIE'S ACADEMY
1549,PCI ACADEMY-PLYMOUTH,
1550,COMMUNITY COLLEGE OF BALTIMORE COUNTY,CCBC|COMMUNITY COLLEGE OF BALTIMORE COUNTY|COMMUNITY COLLEGE OF BALTIMORE COUNTY - ESSEX|COMMUNITY COLLEGE OF BALTIMORE COUNTY - CATONSVILLE|COMMUNITY COLLEGE OF BALTIMORE COUNTY - DUNDALK
1551,BLUE CLIFF COLLEGE-METAIRIE,
1552,RIVER PARISHES COMMUNITY COLLEGE,
1553,NEW COMMUNITY CAREER & TECHNICAL INSTITUTE,
1554,MODERN HAIRSTYLING INSTITUTE-CAROLINA,
1555,ATLANTIC INSTITUTE OF ORIENTAL MEDICINE,
1556,ERIE 1 BOCES,
1557,NEW YORK COLLEGE OF TRADITIONAL CHINESE MEDICINE,NEW YORK INSTITUTE OF CHINESE MEDICINE
1558,HARRIS SCHOOL OF BUSINESS-WILMINGTON CAMPUS,
1559,FLORIDA BARBER ACADEMY,
1560,CARIBBEAN FORENSIC AND TECHNICAL COLLEGE,
1561,FRANKLIN W OLIN COLLEGE OF ENGINEERING,OLIN COLLEGE OF ENGINEERING
1562,NASCAR TECHNICAL INSTITUTE,UNIVERSAL TECHNICAL INSTITUTE OF MORRESVILLE
1563,PIMA MEDICAL INSTITUTE-ALBUQUERQUE WEST,
1564,HOOD THEOLOGICAL SEMINARY,
1565,COLEGIO EDUCATIVO TECNOLOGICO INDUSTRIAL INC,
1566,AVE MARIA UNIVERSITY,AMU
1567,CAMBRIDGE INSTITUTE OF ALLIED HEALTH & TECHNOLOGY,
1568,HAIR EXPRESSIONS ACADEMY,
1569,TOCCOA FALLS COLLEGE,
1570,SABER COLLEGE,
