id,name,alias
99,CARRINGTON COLLEGE-RENO,CARRINGTON COLLEGE-RENO
100,HORIZON UNIVERSITY,
101,TIGI HAIRDRESSING ACADEMY GUILFORD,TIGI HAIRDRESSING ACADEMY
102,NEW BEGINNINGS BEAUTY ACADEMY,
103,ATLANTIS UNIVERSITY,
104,ACADEMY OF INTERACTIVE ENTERTAINMENT,AIE
105,CALIFORNIA INSTITUTE OF ADVANCED MANAGEMENT,CIAM
106,NORTHWEST UNIVERSITY-COLLEGE OF ADULT AND PROFESSIONAL STUDIES,
107,FLORIDA CAREER COLLEGE-JACKSONVILLE,
108,FLORIDA CAREER COLLEGE-TAMPA,
109,FLORIDA CAREER COLLEGE-HIALEAH,
110,FLORIDA CAREER COLLEGE-WEST PALM BEACH,
111,FLORIDA CAREER COLLEGE-PEMBROKE PINES,
112,ARIZONA COLLEGE OF NURSING-LAS VEGAS,
113,TEXAS COLLEGE OF COSMETOLOGY-LUBBOCK,
114,THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY AT XAVIER UNIVERSITY OF LOUISIANA,
115,EMORY UNIVERSITY-OXFORD COLLEGE,
116,PROTEGE ACADEMY,
117,CHAMBERLAIN UNIVERSITY-NEVADA,CHAMBERLAIN COLLEGE OF NURSING-LAS VEGAS
118,MILLIGAN UNIVERSITY,MILLIGAN
119,DAVINES PROFESSIONAL ACADEMY OF BEAUTY AND BUSINESS,DAVINES PROFESSIONAL ACADEMY OF BEAUTY AND BUSINESS
120,KENNESAW STATE UNIVERSITY,KSU
121,TULSA WELDING SCHOOL-HOUSTON,"TULSA WELDING SCHOOL & TECHNOLOGY CENTER, TWSTC, TWS-HOUSTON"
122,JOLIE HEALTH & BEAUTY ACADEMY-CHERRY HILL,
123,LAREDO CHI ACADEMY BEAUTY SCHOOL,
124,CALIFORNIA JAZZ CONSERVATORY,
125,"SANDRA ACADEMY OF SALON SERVICES, INC",
126,PRESIDIO GRADUATE SCHOOL,
127,SAINT MICHAEL COLLEGE OF ALLIED HEALTH,
128,RANDOLPH TECHNICAL CENTER,RTC
129,SAN FRANCISCO FILM SCHOOL,SAN FRANCISCO FILM SCHOOL
130,HVAC TECHNICAL INSTITUTE,
131,BELLA ACADEMY OF COSMETOLOGY,
132,BETHANY GLOBAL UNIVERSITY,"BGU, BETHANY COLLEGE OF MISSIONS, BCOM, BETHANY"
133,ZMS THE ACADEMY,
134,EVANS HAIRSTYLING COLLEGE-CEDAR CITY,
135,ERIC FISHER ACADEMY,
136,AMERICAN TRADE SCHOOL,
137,AMERICAN TECHNICAL INSTITUTE,AMTEC
138,ABCOTT INSTITUTE,
139,THE SALON PROFESSIONAL ACADEMY,TSPA
140,CARRINGTON COLLEGE-MESQUITE,CARRINGTON COLLEGE-MESQUITE
141,ELMEZZI GRADUATE SCHOOL OF MOLECULAR MEDICINE,
142,SEWARD COUNTY COMMUNITY COLLEGE,SCCC
143,STERLING COLLEGE,SC
144,EASTERN COLLEGE OF HEALTH VOCATIONS-NEW ORLEANS,
145,EASTERN FLORIDA STATE COLLEGE,EFSC
146,FLORIDA AGRICULTURAL AND MECHANICAL UNIVERSITY,FAMU|FLORIDA A&M UNIVERSITY|FLORIDA A&M UNIVERSITY |RATTLERS|FAMU RATTLERS
147,FLORIDA STATE COLLEGE AT JACKSONVILLE,FSCJ
148,FLORIDA INTERNATIONAL UNIVERSITY,FIU
149,UNIVERSITY OF FLORIDA,
150,GULF COAST STATE COLLEGE,GCSC
151,MANATEE TECHNICAL COLLEGE,M.T.C.
152,UNIVERSITY OF MIAMI,
153,NOVA SOUTHEASTERN UNIVERSITY,
154,PALM BEACH STATE COLLEGE,
155,PASCO-HERNANDO STATE COLLEGE,
156,FIRST COAST TECHNICAL COLLEGE,
157,PROFESSIONAL ACADEMY OF COSMETOLOGY,
158,TREASURE COAST TECHNICAL COLLEGE,
159,AMERICAN COLLEGE OF BARBERING,
160,BETH MEDRASH MEOR YITZCHOK,
161,DORSEY SCHOOL OF BUSINESS-SAGINAW,DORSEY SCHOOLS- SAGINAW
162,UNIVERSAL TECHNICAL INSTITUTE OF ARIZONA INC-MOTORCYCLE MECHANICS INSTITUTE DIVISION,"UNIVERSAL TECHNICAL INSTITUTE OF PHOENIX, INC. UNIVERSAL TECHNICAL INSTITUTE MMI-PHOENIX MMI-AZ"
163,GEORGIA HIGHLANDS COLLEGE,GHC
164,UNIVERSITY OF GEORGIA,
165,NORTH GEORGIA TECHNICAL COLLEGE,
166,IDAHO STATE UNIVERSITY,ISU
